,keras_cv,trial_index,arm_name,learning_rate,dropout_rate,num_hidden_layers,neurons_per_layer,batch_size,activation,optimizer,trial_status,generation_method
22,3.72252242565155,119,119_0,0.007013170959161336,0.019508839130676286,4,200,64,relu,adam,COMPLETED,BO_MIXED
188,3.7240580797195433,89,89_0,0.007994860335883432,0.019651437503278482,4,197,64,relu,adam,COMPLETED,BO_MIXED
131,3.816350054740906,37,37_0,0.0021837782754393726,0.043263609910323034,5,86,32,relu,adam,COMPLETED,BO_MIXED
30,4.157646894454956,125,125_0,0.008096126385437906,0.019701248041183686,4,197,64,relu,adam,COMPLETED,BO_MIXED
113,4.1582622051239015,21,21_0,0.01338228702938622,0.02233261935444185,3,200,128,relu,adam,COMPLETED,BO_MIXED
35,4.313463735580444,130,130_0,0.009211064556467268,0.01963330422872715,4,189,64,relu,adam,COMPLETED,BO_MIXED
106,4.325437450408936,194,194_0,0.008605309914479352,0.019780499112074378,4,192,64,relu,adam,COMPLETED,BO_MIXED
116,4.498040390014649,23,23_0,0.017713690935802995,0.03136314977973394,4,200,128,relu,adam,COMPLETED,BO_MIXED
128,4.606835436820984,34,34_0,0.015051088862803262,0.021406625392067002,4,194,128,relu,adam,COMPLETED,BO_MIXED
173,4.711140501499176,76,76_0,0.007400251609893969,0.019862979231473576,4,194,64,relu,adam,COMPLETED,BO_MIXED
132,5.061255288124085,38,38_0,0.011850200965676932,0.016241464500313444,4,192,256,relu,adam,COMPLETED,BO_MIXED
92,5.274733519554138,18,18_0,0.021194246345415717,0.04902457895124432,4,75,64,relu,adam,COMPLETED,BO_MIXED
125,5.322656202316284,32,32_0,0.013739136821576785,0.01741258124346164,3,192,256,relu,adam,COMPLETED,BO_MIXED
70,5.660281705856323,16,16_0,0.011362160134354805,0.06253966837954844,5,96,64,relu,adam,COMPLETED,BO_MIXED
119,5.741929292678833,26,26_0,0.0326243464489695,0.05922048200668809,5,80,64,relu,adam,COMPLETED,BO_MIXED
124,5.7787782669067385,31,31_0,0.018165179970604097,0.015686182366502138,4,196,128,relu,adam,COMPLETED,BO_MIXED
103,5.840825462341309,19,19_0,0.015377011973269097,0.04135326086588321,5,67,64,relu,adam,COMPLETED,BO_MIXED
0,6.222786378860474,0,0_0,0.02463177091493457,0.046542483472069976,5,84,128,relu,adam,COMPLETED,Sobol
133,6.2842045545578005,39,39_0,0.006285788932476803,0.04986399829219408,5,84,64,relu,adam,COMPLETED,BO_MIXED
114,6.715807342529297,22,22_0,0.01370419304080114,0.03008111393685842,3,200,256,relu,adam,COMPLETED,BO_MIXED
59,9.04091181755066,15,15_0,0.03473968846183176,0.07978291188595939,5,59,64,relu,adam,COMPLETED,BO_MIXED
112,10.227740812301636,20,20_0,0.025017433889894594,0.12113820034518963,3,73,8,sigmoid,sgd,COMPLETED,BO_MIXED
23,11.132279777526856,1,1_0,0.013833433699550958,0.10325299771153923,4,127,8,sigmoid,sgd,COMPLETED,Sobol
2,11.81771478652954,10,10_0,0.0260937664520882,0.023995243069739963,4,174,256,relu,adam,COMPLETED,Sobol
81,12.003782749176025,17,17_0,0.013029609440434098,0.08741232151942004,5,72,128,relu,adam,COMPLETED,BO_MIXED
134,14.158608341217041,40,40_0,0.019269201102423205,0.11312213430992879,5,99,8,sigmoid,sgd,COMPLETED,BO_MIXED
199,14.84621810913086,9,9_0,0.048896402660052504,0.1426260385223581,1,12,16,sigmoid,sgd,COMPLETED,Sobol
126,15.97030029296875,33,33_0,0.017830210288925907,0.11231230459264827,2,102,32,sigmoid,sgd,COMPLETED,BO_MIXED
37,19.485350322723388,13,13_0,0.22677841223683418,0.2455148244364424,1,150,8,sigmoid,adam,COMPLETED,Sobol
14,49.19472770690918,11,11_0,0.08018754482168315,0.27380789774207825,3,23,256,relu,adam,COMPLETED,Sobol
115,95.20314559936523,2,2_0,0.07131308415456362,0.15840219625904658,3,145,128,relu,adam,COMPLETED,Sobol
48,95.57253570556641,14,14_0,0.03257611666759263,0.024202175384452757,5,119,256,relu,adam,COMPLETED,BO_MIXED
175,96.02856063842773,7,7_0,0.16234630232393368,0.2996624620789666,5,25,16,sigmoid,adam,COMPLETED,Sobol
151,107.79943084716797,5,5_0,0.039743036155128586,0.015529032786598208,5,27,8,tanh,sgd,COMPLETED,Sobol
127,120.78803176879883,3,3_0,0.00031235072106751345,0.39323479509224957,5,160,16,relu,rms,COMPLETED,Sobol
26,137.71260604858398,12,12_0,0.07173711687739785,0.23975636282147603,3,200,256,tanh,rms,COMPLETED,Sobol
139,140.12761917114258,4,4_0,0.058091840058019685,0.33459466369812035,5,188,128,tanh,rms,COMPLETED,Sobol
187,222.38353271484374,8,8_0,0.0005435734193201482,0.1157140131891293,2,14,128,relu,adam,COMPLETED,Sobol
163,9999.0,6,6_0,0.4729812454040944,0.01738912227260854,4,35,32,tanh,sgd,COMPLETED,Sobol
