ID,Substrate,Ceramic,Thickness,Lsub,asub,bsub,Lcer,acer,bcer,L,a,b
525,Black,Empress HT A3,0.5,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,44.61,-0.87,-3.47
527,Black,Empress HT A3,0.5,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,44.61,-0.89,-3.45
43,Black,Empress HT A1,0.5,22.06166667,8.801676766,0.335,64.40833333,-0.453333333,6.843333333,44.66,-0.93,-6.45
36,Black,Empress HT A1,0.5,22.06166667,8.801676766,0.335,64.40833333,-0.453333333,6.843333333,45.38,-0.9,-5.25
34,Black,Empress HT A1,0.5,22.06166667,8.801676766,0.335,64.40833333,-0.453333333,6.843333333,45.39,-0.9,-5.26
32,Black,Empress HT A1,0.5,22.06166667,8.801676766,0.335,64.40833333,-0.453333333,6.843333333,45.41,-0.92,-5.26
33,Black,Empress HT A1,0.5,22.06166667,8.801676766,0.335,64.40833333,-0.453333333,6.843333333,45.71,-0.89,-5.27
35,Black,Empress HT A1,0.5,22.06166667,8.801676766,0.335,64.40833333,-0.453333333,6.843333333,45.71,-0.89,-5.25
31,Black,Empress HT A1,0.5,22.06166667,8.801676766,0.335,64.40833333,-0.453333333,6.843333333,45.75,-0.89,-5.29
60,Black,Empress HT A1,0.5,22.06166667,8.801676766,0.335,64.40833333,-0.453333333,6.843333333,45.87,-0.96,-5.69
58,Black,Empress HT A1,0.5,22.06166667,8.801676766,0.335,64.40833333,-0.453333333,6.843333333,45.9,-0.96,-5.73
56,Black,Empress HT A1,0.5,22.06166667,8.801676766,0.335,64.40833333,-0.453333333,6.843333333,45.93,-0.97,-5.74
90,Black,Empress HT A1,0.7,22.06166667,8.801676766,0.335,64.40833333,-0.453333333,6.843333333,45.98,-1.09,-4.38
66,Black,Empress HT A1,0.7,22.06166667,8.801676766,0.335,64.40833333,-0.453333333,6.843333333,46.04,-1.09,-4.95
88,Black,Empress HT A1,0.7,22.06166667,8.801676766,0.335,64.40833333,-0.453333333,6.843333333,46.05,-1.09,-4.44
62,Black,Empress HT A1,0.7,22.06166667,8.801676766,0.335,64.40833333,-0.453333333,6.843333333,46.09,-1.11,-4.98
84,Black,Empress HT A1,0.7,22.06166667,8.801676766,0.335,64.40833333,-0.453333333,6.843333333,46.1,-1.06,-3.71
564,Black,Empress HT A3,0.7,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,46.13,-1.18,-2.41
86,Black,Empress HT A1,0.7,22.06166667,8.801676766,0.335,64.40833333,-0.453333333,6.843333333,46.14,-1.07,-4.49
558,Black,Empress HT A3,0.7,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,46.14,-1.23,-2.56
562,Black,Empress HT A3,0.7,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,46.14,-1.18,-2.43
64,Black,Empress HT A1,0.7,22.06166667,8.801676766,0.335,64.40833333,-0.453333333,6.843333333,46.15,-1.08,-4.91
560,Black,Empress HT A3,0.7,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,46.15,-1.19,-2.43
